filename	imageID	brightness_median	brightness_stdev	saturation_median	saturation_stdev	hue_median	hue_stdev	decade
004a05e276299fed804397ba66de6bfb.jpg	1	224	78.9292	12	72.2994	26	52.9021	1970
004a1dece53d96285136b2c70986fd57.jpg	2	168	68.1485	67	67.2796	43	47.907	1970
009aa3b8a0c26d96a7f8c9634bbe20be.jpg	3	139	84.2698	3	15.7954	70	73.001	1970
0236ec27e81e176e14ad64e9fe772684.jpg	4	178	69.8637	76	54.2351	24	77.8496	1970
036b15050df6372e048ef252e74d76fa.jpg	5	146	70.3932	81	53.2423	14	85.9768	1970
062abc0820a231eeb3549b2ea1ca7bd6.jpg	6	207	47.4275	82	60.0371	26	22.1794	1970
06efd34de8eed5b57f02bc1f09919126.jpg	7	211	33.8523	43	81.1248	120	44.1018	1970
07140633d78ff57b85842ede7be83097.jpg	8	168	59.6445	162	59.3918	24	65.6951	1970
0a45f3f622dea355621f3fb10bb5f792.jpg	9	253	72.6248	2	63.9475	13	60.2095	1970
0a4dd7490c7a0df7c018d026a9b05646.jpg	10	251	66.413	18	26.3096	35	18.1583	1970
0d70bfb40a30eb2b73462abb5dc13967.jpg	11	206	57.0198	132	51.7096	27	58.2756	1970
0e6932f7b2a8aa8f528eab6748883728.jpg	12	171	87.7334	62	63.6118	31	43.7901	1970
1-April-1978_v_2aug10_B_216x324.jpg	13	210	56.89	107	56.9089	16	51.2818	1978
1-April_1976_covers_v_17dec10_B_216x324.jpg	14	135	60.5877	92	78.2028	135	57.2037	1976
1-March-1962_vogue_cover_v_19nov10_150x200.jpg	15	84	86.314	48	43.8563	54	43.6831	1962
1-March-1978_v_2aug10_B_216x324.jpg	16	218	68.8154	105	54.7345	14	81.9562	1978
1-March_1976_covers_v_17dec10_B_216x324.jpg	17	216	34.3722	186	68.1191	26	27.8724	1976
1-October-1962_vogue_cover_v_19nov10_240x320.jpg	18	122	65.8008	52	28.1115	77	36.6352	1962
1-October-1978_v_2aug10_B_216x324.jpg	19	142	87.9997	93	63.1977	31	37.9895	1978
1-October_1976_covers_v_17dec10_B_216x324.jpg	20	149	56.0244	146	59.4069	19	21.6575	1970
1-September_1976_covers_v_17dec10_B_216x324.jpg	21	180	54.2874	31	52.9465	23	37.2956	1970
1-Spetember-1978_v_2aug10_B_216x324.jpg	22	222	53.0414	61	49.8509	27	50.8152	1970
12d6dfd0fddb39c9b05ec82e175dc9a7.jpg	23	145	61.453	161	58.8916	21	42.9977	1970
15-April_1976_covers_v_17dec10_B_216x324.jpg	24	223	70.2327	26	40.5521	42	34.5769	1970
15-March-1962_vogue_cover_v_19nov10_150x200.jpg	25	166	56.017	192	43.0954	23	20.4408	1970
15-March-1978_v_2aug10_B_216x324.jpg	26	207	46.7263	148	70.7386	21	107.3364	1970
15-March_1976_covers_v_17dec10_B_216x324.jpg	27	177	30.9375	16	59.1733	85	63.3622	1970
15-October-1962_vogue_cover_v_19nov10_150x200.jpg	28	137	70.51	44	35.9324	42	43.6592	1960
15-October-1978_v_2aug10_B_216x324.jpg	29	177	54.8725	37	79.6601	34	44.1846	1970
15-September-1962_vogue_cover_v_19nov10_150x200.jpg	30	130	87.3056	52	50.0812	31	58.8803	1960
15-September-1978_v_2aug10_B_216x324.jpg	31	89	75.4403	77	63.9174	38	52.4968	1970
15-September_1976_covers_v_17dec10_B_216x324.jpg	32	109	75.4053	89	49.9043	127	65.3018	1970
17e57c45343fc30cf816604290c10d13.jpg	33	143	68.587	104	61.2785	45	77.3671	1970
19004b91b5e92852ef77965b95662fa4.jpg	34	117	78.2864	47	47.0418	41	36.9086	1970
19dfad65ad562efbf13a962fcd495a69.jpg	35	171	51.951	111	48.0814	18	66.7062	1970
1b0141638c3c8cfb9c35b4fe62c14cdd.jpg	36	178	58.3427	85	71.2403	42	58.9592	1970
1baeed5d1c672251a1ebd93064fa967e.jpg	37	207	38.3969	38	71.3721	24	20.3605	1970
1bd526a9ed3cb097ed2085ea853c8a8a.jpg	38	169	69.2121	58	78.0411	34	61.348	1970
1ccd3b5b68161ccfb92401b3b2231559.jpg	39	89	81.7159	5	15.8792	106	71.4565	1970
1d98cd66f62da34edf865147080b5780.jpg	40	133	41.5404	27	28.7277	20	4.6675	1970
1db75df514e09fda98e96b271ce0c593.jpg	41	202	38.3006	47	46.4135	86	50.2394	1970
1ee21282da23431cf32ae21851b67178.jpg	42	213	89.3449	214	91.1494	18	43.0124	1970
200ecfd60294c5546b178166c150417c.jpg	43	169	59.1915	75	38.3817	53	33.6937	1970
2244f428af23e76a5554d11833eecab7.jpg	44	255	65.0877	4	68.317	11	41.6742	1970
23439b9122ed059fdba30bce4544b1c9.jpg	45	159	43.9088	76	33.0321	23	69.8783	1970
23a50131e68b55271c19146d228a257e.jpg	46	83	96.7409	25	38.9367	45	8.0059	1970
23d4f2ce4c1ffea343cde43e8c2fe1af.jpg	47	252	47.6507	8	72.8065	42	38.8921	1970
2474d330e93270c061e6fe04b448e113.jpg	48	192	71.3222	98	83.0443	31	52.0162	1970
2819b304329c308ec237a560f8f540c6.jpg	49	42	58.9217	156	74.4509	85	45.5034	1970
28406ea4cd24765d97ec2ae011a3be42.jpg	50	183	39.6136	43	55.054	21	51.112	1970
2b2acef199f55ebcc11eeaaa3879dd93.jpg	51	244	50.9094	9	82.4482	34	52.1556	1970
2cbb669751c49b8fdc55bed747045ba0.jpg	52	166	50.0817	78	40.364	44	63.1342	1970
2cee1fdbe819601ef2b300aee3bc7550.jpg	53	184	49.0189	84	66.1162	103	69.8776	1970
2d370958bb999149886953e067936563.jpg	54	138	57.977	126	47.7381	30	91.986	1970
2d867063091ff7fe10d5d3673794ed68.jpg	55	222	91.7326	5	19.7081	37	93.2777	1970
2e717b1bd59eb4f8be0c1168688600eb.jpg	56	226	61.5277	40	41.1202	21	56.5218	1970
2f5dd3d233061468b064995962fc32c7.jpg	57	93	74.3502	17	40.8384	51	7.6391	1970
30e7e5b0526883570c2f249b4a8a350f.jpg	58	243	66.4859	114	89.96	30	53.5299	1970
315570e381bf3783ddcd696d37f8f6c5.jpg	59	161	63.2787	47	71.6753	26	9.6949	1970
3312f9d1bfcaa65dbff972dae45da643.jpg	60	170	72.2119	92	53.8359	163	68.3364	1970
337bd4c4fb85b0553dae1b6482691e84.jpg	61	218	66.422	40	83.4304	23	61.6165	1970
352dec0ad8e5b6ee8682957a652cfc15.jpg	62	200	52.7868	49	53.9673	49	53.383	1970
35c27433be3890ddf0a3fa5b9edec34f.jpg	63	183	76.5718	77	78.5748	23	40.8812	1970
3645d315e1994d533b96e27c38809fdb.jpg	64	166	81.7768	143	65.8344	19	84.0502	1970
37c1fa7139e225957d8712915721da2a.jpg	65	230	38.0089	28	58.6852	34	60.2422	1970
37f906e08e5608cd3dd430d1ab226ac1.jpg	66	35	71.9902	43	36.8779	34	56.4684	1970
38e6847aa3af62966e7e5817cc7b8756.jpg	67	230	64.3656	62	62.0475	23	13.5362	1970
39211fd3554e7056281b5827659de056.jpg	68	246	32.831	17	65.3551	24	17.9577	1970
3ab0779939b52bb8a31ba2922d26fe9d.jpg	69	250	50.3758	69	65.4797	33	26.2395	1970
3f2a65e02ab5e62ce33e54787392a21c.jpg	70	213	57.8094	116	81.606	31	59.903	1970
3f908e043606afd81f3079972d52ee5a.jpg	71	207	52.9875	41	64.6482	31	32.0557	1970
40744ab2d78543959ef7a1b7d5a88025.jpg	72	147	58.519	158	38.527	23	10.8924	1970
409d414290ca39910105ff0cc464a584.jpg	73	157	36.0274	33	26.0131	138	92.764	1970
426c88e5ae062cc09fe223e886bb36f4.jpg	74	168	36.4755	63	24.026	12	68.9303	1970
42c31670949dfde5f1c02aced29d17b8.jpg	75	228	48.0956	75	43.4122	26	47.0127	1970
430449-1280_216x324.jpg	76	206	67.2132	57	45.8847	18	26.7473	1970
44957d2b650f3dfec7975b399c9d0e8b.jpg	77	228	25.6668	15	56.4918	28	81.4696	1970
4504f1537f18d13b18cd0ce7bb4a6212.jpg	78	218	92.0856	28	89.1888	34	47.6655	1970
472f0a303112ca4db2e4bf4495950e6b.jpg	79	108	67.5095	173	66.6542	13	55.2585	1970
4a0c34115d6e1f11ade1d1614be96b58.jpg	80	181	49.5071	42	52.1369	65	72.2829	1970
4aaaf2dc3cd1cfb3b89dc5ea479b8c39.jpg	81	21	89.1216	6	46.2496	51	70.509	1970
4ba82fc7708f66e46490d3baaf81140b.jpg	82	185	59.1281	80	38.1103	22	31.7924	1970
4bac146ac039cf6aaf866c06e4694717.jpg	83	136	69.7803	25	50.2186	63	15.0899	1970
4d8830cad7feb93386b6bfc0bb0567e0.jpg	84	58	73.8195	9	11.1903	23	42.2628	1970
500424aa89b84a7d4c15f7254f945484.jpg	85	226	62.7788	61	69.4021	19	44.3693	1970
512369f40749aab0cdf82b811154a324.jpg	86	249	78.4325	7	29.6044	127	63.5851	1970
51c1d336a4ce2e0a9794da98583ced76.jpg	87	202	61.5155	59	72.7339	20	36.1726	1970
5651a91aef65c94d93dc9c1410d5ca6a.jpg	88	185	46.6778	52	49.4987	18	60.5477	1970
581ab0c722e9269003ca1474e0f9bac3.jpg	89	144	55.4774	144	74.4236	45	79.4184	1970
5918e30f5f143387bac3c1ef704e728d.jpg	90	137	77.0573	180	84.6977	21	56.1652	1970
5ff246111b43970013f3b16b0c233782.jpg	91	75	102.3064	59	62.2478	42	6.5969	1970
608aaacad0dd9a1095c92dfefe4638e1.jpg	92	170	91.1522	88	99.9279	31	43.8931	1970
6462b52e02a0f0fd2e3fec1b0851bd68.jpg	93	242	72.597	17	76.5365	31	37.4238	1970
65df40f36485610a472c43a8b0deaf71.jpg	94	182	87.6705	119	54.2101	28	83.1641	1970
66054e62d093c3881ddcf4e9c159350b.jpg	95	202	54.4089	26	56.2372	22	70.8602	1970
66c1df28c84cc09436ff7bf985aae216.jpg	96	190	80.3232	148	48.4803	27	96.1796	1970
68e5473939601e3a4ed4c0b780112632.jpg	97	111	65.1798	68	67.6746	23	92.2466	1970
692cfadc170e91ae1962dd75a37cf209.jpg	98	121	90.2799	128	89.8417	63	44.0539	1970
69e11a3014f5aec3bf0d74f412a49976.jpg	99	160	48.8613	66	62.9978	65	41.8897	1970
6ad6bf43caafca1c6598e0b65fec75d6.jpg	100	172	82.133	94	37.8177	16	94.0046	1970
6b58d87759be1db211c87ac5cb6f2728.jpg	101	208	38.5827	111	41.0944	25	7.9764	1970
6bac858cd216e16b7de180d783f1403e.jpg	102	120	67.7012	44	40.2477	34	47.0919	1970
6cacac5259b9b78307403ad13d60422f.jpg	103	201	56.6712	188	78.845	25	41.3707	1970
6d5f83969840bba4810f8a01b5112741.jpg	104	116	85.843	93	82.955	24	40.7477	1970
6e1df6adad9bd74037a797ee0e9b5a63.jpg	105	180	60.1625	27	83.648	53	44.2534	1970
7161b11670f86ace461a82f5b6e98ad0.jpg	106	255	50.9697	2	54.3825	21	32.91	1970
72c88f73b9fe3f2191015a56e447611e.jpg	107	229	28.2363	35	39.1792	9	73.8764	1970
72de86c5223f5b5d7d245d64676dc518.jpg	108	66	72.5878	96	61.2266	135	58.4021	1970
73383a979d52f4e161df79ce5bfe4ddd.jpg	109	168	68.2055	198	84.3277	27	56.3877	1970
75073af04bae9ccf88d3a8d90ac8aa02.jpg	110	214	59.7635	119	75.7661	37	64.9557	1970
75289646ec2cc1271e70e6cc162a76d1.jpg	111	190	70.8362	40	32.2959	24	77.5389	1970
771dbd98ad3d67dfb8506ae3024a9778.jpg	112	170	56.0291	149	59.3944	127	46.8711	1970
78c379087a5f90a410a8a76061cd2880.jpg	113	178	60.9879	56	19.6326	18	2.3213	1970
799e437216097e627ff446e7b07b977d.jpg	114	212	43.1238	89	62.4673	9	64.3614	1970
7bf84b9b7edacb84fa978a65b734ed72.jpg	115	130	90.6932	130	72.9448	127	79.4947	1970
7c10ec35bcb7e38241d3d142309cc58b.jpg	116	184	47.9944	60	40.1825	28	76.0551	1970
7d06fc183e4376ce517eff75b6d7cb06.jpg	117	224	58.6054	24	43.5491	26	30.0652	1970
7d4daa906d907cf1882bfeb188d6b006.jpg	118	192	44.6503	73	47.8069	32	58.4484	1970
7d7176333c03f047d09b1e621be7af5c.jpg	119	236	41.5641	78	57.2545	13	34.9104	1970
7fa6e0c0cf836b97bc719b37cfe50d97.jpg	120	149	57.7	172	62.8068	16	29.383	1970
802388d060163e02990f0d713b48ce14.jpg	121	51	79.7794	79	65.8802	75	14.8701	1970
815bbc66f0488d8f22980e3aefd33287.jpg	122	150	76.1774	46	56.7066	42	45.5815	1970
8161ce42c20b7bedd41bd0e365298929.jpg	123	160	81.1495	61	67.7697	34	26.999	1970
835085bc9f6089a94ba8a1efe6f83eac.jpg	124	209	34.1081	39	47.5357	28	91.4919	1970
86d591b57979682c52ae69c1535197ba.jpg	125	42	49.6875	77	48.4269	19	6.1598	1970
880338f4dc27405c2e9a5565c4465c4d.jpg	126	235	53.9047	250	69.111	15	12.47	1970
89dc6197dcdd5fcf10af278e0600da57.jpg	127	202	45.496	61	55.6529	60	58.4102	1970
8bf97f0e956402c5f0c348d89dce2060.jpg	128	142	52.3498	64	53.2601	215	105.4196	1970
8cbdc3a78f46777e90c3fb18eb23b175.jpg	129	197	78.1349	170	79.7752	20	42.0952	1970
8daac77ee2657fbb84f044fad61f7d34.jpg	130	108	65.7756	101	41.181	30	70.2211	1970
8daeede87c0f4532ece7631f70dfdfeb.jpg	131	223	71.4274	48	71.2821	26	16.7831	1970
8e1ac1ecbb2cbf3f19d65a8cbc68baf1.jpg	132	186	75.5008	103	59.3979	26	64.9134	1970
8ead0dfbc446a394009c9939346fa5fb.jpg	133	169	61.97	32	30.4912	116	76.918	1970
8f203ce56f6e9ff5c7bcad68ad143f3c.jpg	134	215	59.4103	177	45.34	19	90.4884	1970
908e7138c7045e2da5b843bd9df1703b.jpg	135	196	73.0688	54	53.366	73	83.2565	1970
912aef639171689bb214add039a15e79.jpg	136	187	73.2869	94	77.8148	58	48.0838	1970
91a290cc51236adb2ce2002b3a2486f8.jpg	137	218	63.5429	119	76.2622	15	72.8641	1970
91aaec84717309ae60b051adaa4b592f.jpg	138	237	74.3082	28	72.0314	29	15.9068	1970
94feb7c425d48f5db319653549d9d4d2.jpg	139	128	54.3673	64	44.3128	49	36.7566	1970
95129cd36948d9c9fdb8b578f98bc7d6.jpg	140	226	36.2217	73	52.3801	31	99.9747	1970
95257cbab22c255f1a13a89e30210df4.jpg	141	227	58.7549	32	93.9529	9	39.6937	1970
958553f09684924855a9ff354354ff56.jpg	142	226	37.4239	155	67.1364	7	115.2646	1970
96454b967f2d67d04db67266f7d204ae.jpg	143	191	80.1858	26	63.9821	42	49.2964	1970
978c027dcb16bd0e0ed8a8add42895d1.jpg	144	199	70.5972	74	73.7921	109	81.8329	1970
9d6d6f7b0a4e4bee64cf8c88bdfc6e37.jpg	145	183	74.4126	113	79.3312	138	75.5297	1970
